,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in
405,2020-03-10,2,0,51107,2020-05-09,1127.0,30.0,2020-05-19,1527.0,48.0,2020-05-29,2429.0,62.0,33,374558,46809,88973,94986,66466
408,2020-03-10,1,0,53057,2020-05-09,397.0,14.0,2020-05-19,426.0,15.0,2020-05-29,430.0,15.0,18,121725,31915,40913,10286,12078
411,2020-03-10,1,0,53073,2020-05-09,330.0,33.0,2020-05-19,359.0,36.0,2020-05-29,383.0,36.0,24,212738,47353,88867,8039,4827
414,2020-03-10,1,0,26125,2020-05-09,7692.0,841.0,2020-05-19,8078.0,928.0,2020-05-29,8311.0,975.0,409,1241860,273867,411569,182537,260568
417,2020-03-10,1,0,49057,2020-05-09,175.0,2.0,2020-05-19,224.0,3.0,2020-05-29,280.0,6.0,64,244101,38967,75108,33475,26163
420,2020-03-10,1,0,46005,2020-05-09,21.0,2.0,2020-05-19,43.0,2.0,2020-05-29,222.0,3.0,6,18163,4501,8162,939,982
423,2020-03-10,1,0,46023,2020-05-09,5.0,0.0,2020-05-19,10.0,0.0,2020-05-29,16.0,0.0,0,9319,2183,3510,276,595
426,2020-03-10,2,1,46035,2020-05-09,7.0,1.0,2020-05-19,9.0,1.0,2020-05-29,14.0,1.0,8,19753,4889,9061,1083,2388
429,2020-03-10,1,0,46099,2020-05-09,2767.0,29.0,2020-05-19,3165.0,40.0,2020-05-29,3330.0,49.0,54,183660,32585,87284,9996,27019
432,2020-03-10,1,0,47163,2020-05-09,54.0,1.0,2020-05-19,57.0,2.0,2020-05-29,60.0,2.0,103,156519,44012,45185,19625,28710
435,2020-03-10,2,0,48113,2020-05-09,5619.0,143.0,2020-05-19,7904.0,191.0,2020-05-29,9787.0,223.0,614,2552213,377154,972140,200152,520617
438,2020-03-10,1,0,48339,2020-05-09,699.0,16.0,2020-05-19,848.0,18.0,2020-05-29,954.0,26.0,97,535187,96577,127445,99131,50804
441,2020-03-10,1,0,48439,2020-05-09,3210.0,101.0,2020-05-19,4643.0,130.0,2020-05-29,5379.0,160.0,409,1983675,306980,707436,204110,196723
444,2020-03-10,1,0,6111,2020-05-09,666.0,19.0,2020-05-19,850.0,28.0,2020-05-29,1083.0,33.0,139,847834,167777,302890,87247,43603
447,2020-03-10,1,0,8051,2020-05-09,173.0,6.0,2020-05-19,179.0,6.0,2020-05-29,179.0,6.0,0,16215,2905,8517,337,1083
450,2020-03-10,1,0,12001,2020-05-09,308.0,5.0,2020-05-19,339.0,7.0,2020-05-29,378.0,7.0,210,259865,47766,106996,7691,23134
453,2020-03-10,3,0,12021,2020-05-09,734.0,27.0,2020-05-19,1030.0,40.0,2020-05-29,1454.0,49.0,73,356774,132129,123480,14503,23366
456,2020-03-10,1,0,6077,2020-05-09,605.0,28.0,2020-05-19,709.0,33.0,2020-05-29,858.0,35.0,121,724153,123774,196956,74539,45166
459,2020-03-10,5,0,22071,2020-05-09,6674.0,468.0,2020-05-19,6869.0,494.0,2020-05-29,7067.0,505.0,111,388182,74618,124891,42962,93799
462,2020-03-10,1,0,25009,2020-05-09,11211.0,625.0,2020-05-19,12748.0,797.0,2020-05-29,13994.0,906.0,98,775860,173485,239294,137692,81347
465,2020-03-10,1,0,18011,2020-05-09,233.0,33.0,2020-05-19,280.0,37.0,2020-05-29,327.0,38.0,8,63013,11259,12310,17626,11381
468,2020-03-10,1,0,18001,2020-05-09,8.0,1.0,2020-05-19,10.0,1.0,2020-05-29,13.0,1.0,4,35018,7140,10067,4624,4048
471,2020-03-10,1,0,17089,2020-05-09,2818.0,88.0,2020-05-19,4682.0,120.0,2020-05-29,6235.0,170.0,103,529402,93411,134506,115998,84946
474,2020-03-10,1,0,12089,2020-05-09,60.0,1.0,2020-05-19,66.0,1.0,2020-05-29,74.0,1.0,0,78435,21894,16062,15098,3967
477,2020-03-10,1,0,17111,2020-05-09,936.0,52.0,2020-05-19,1224.0,64.0,2020-05-29,1514.0,71.0,33,308043,58774,77236,77129,29243
480,2020-03-10,1,0,12101,2020-05-09,293.0,9.0,2020-05-19,327.0,12.0,2020-05-29,377.0,13.0,166,498136,142985,99664,85479,26165
483,2020-03-10,2,0,12103,2020-05-09,848.0,59.0,2020-05-19,1062.0,71.0,2020-05-29,1238.0,82.0,279,949842,293786,359649,57420,69317
486,2020-03-10,1,0,13049,2020-05-09,17.0,0.0,2020-05-19,29.0,1.0,2020-05-29,32.0,1.0,0,12963,2473,2217,2394,506
489,2020-03-11,1,0,41017,2020-05-10,86.0,0.0,2020-05-20,116.0,0.0,2020-05-30,124.0,0.0,36,175321,45371,68435,4390,4425
492,2020-03-11,1,0,38101,2020-05-10,27.0,1.0,2020-05-20,29.0,1.0,2020-05-30,37.0,1.0,19,69628,11458,35907,2492,4686
495,2020-03-11,1,0,39151,2020-05-10,500.0,67.0,2020-05-20,620.0,79.0,2020-05-30,723.0,91.0,128,374273,94437,130386,41942,34866
498,2020-03-11,1,0,41053,2020-05-10,84.0,5.0,2020-05-20,94.0,9.0,2020-05-30,98.0,12.0,0,79666,18539,13400,18564,6781
501,2020-03-11,1,0,41059,2020-05-10,85.0,1.0,2020-05-20,105.0,3.0,2020-05-30,116.0,3.0,3,76736,15752,26015,5376,4232
504,2020-03-11,2,0,42017,2020-05-10,3966.0,341.0,2020-05-20,4662.0,431.0,2020-05-30,5050.0,501.0,90,626486,151809,177479,137230,84117
507,2020-03-11,2,0,41043,2020-05-10,102.0,8.0,2020-05-20,110.0,9.0,2020-05-30,115.0,9.0,11,121074,29548,32608,15413,11039
