fips,county_name,total_population,pop_under18,pop_over65,median_age
40061,"Haskell County, Oklahoma",12704,3069,2498,40.6
40063,"Hughes County, Oklahoma",13460,2934,2507,39
40065,"Jackson County, Oklahoma",25384,6500,3698,34.2
40067,"Jefferson County, Oklahoma",6223,1486,1231,41.9
40069,"Johnston County, Oklahoma",11041,2604,2063,39.8
40071,"Kay County, Oklahoma",44880,11235,8383,38.6
40073,"Kingfisher County, Oklahoma",15618,4237,2378,36.2
40075,"Kiowa County, Oklahoma",9001,2121,1756,43.1
40077,"Latimer County, Oklahoma",10495,2294,2202,41.3
40079,"Le Flore County, Oklahoma",49909,11986,8745,39.4
40081,"Lincoln County, Oklahoma",34854,8495,6144,41.2
40083,"Logan County, Oklahoma",46044,10962,6791,37.8
40085,"Love County, Oklahoma",9933,2499,1885,40.1
40087,"McClain County, Oklahoma",38634,9954,5812,38.4
40089,"McCurtain County, Oklahoma",32966,8375,5789,38.8
40091,"McIntosh County, Oklahoma",19819,4040,4881,47.3
40093,"Major County, Oklahoma",7718,1953,1525,41.1
40095,"Marshall County, Oklahoma",16376,3836,3553,42.6
40097,"Mayes County, Oklahoma",40980,9756,7315,40.3
40099,"Murray County, Oklahoma",13875,3248,2626,43
40101,"Muskogee County, Oklahoma",69084,16917,11197,37.9
40103,"Noble County, Oklahoma",11411,2785,2110,41.6
40105,"Nowata County, Oklahoma",10383,2390,1974,42.3
40107,"Okfuskee County, Oklahoma",12115,2816,2091,40
40109,"Oklahoma County, Oklahoma",782051,200989,101851,34.5
40111,"Okmulgee County, Oklahoma",38889,9303,6907,39.1
40113,"Osage County, Oklahoma",47311,10655,8817,42.1
40115,"Ottawa County, Oklahoma",31566,7836,5677,38.1
40117,"Pawnee County, Oklahoma",16428,3941,3060,41.9
40119,"Payne County, Oklahoma",81512,15714,9633,27.1
40121,"Pittsburg County, Oklahoma",44382,9836,8522,40.6
40123,"Pontotoc County, Oklahoma",38358,9136,6148,35.6
40125,"Pottawatomie County, Oklahoma",72000,17399,11396,37.5
40127,"Pushmataha County, Oklahoma",11119,2475,2502,44.6
40129,"Roger Mills County, Oklahoma",3708,952,708,40.5
40131,"Rogers County, Oklahoma",90814,21874,14195,39
40133,"Seminole County, Oklahoma",25071,6342,4369,39.2
40135,"Sequoyah County, Oklahoma",41359,9651,7450,41
40137,"Stephens County, Oklahoma",43983,10319,8254,40.5
40139,"Texas County, Oklahoma",21121,5909,2343,32.1
40141,"Tillman County, Oklahoma",7515,1809,1454,41.2
40143,"Tulsa County, Oklahoma",642781,163587,87684,35.5
40145,"Wagoner County, Oklahoma",77850,19312,12114,38.7
40147,"Washington County, Oklahoma",52001,12363,9881,40.2
40149,"Washita County, Oklahoma",11432,2906,1985,38.9
40151,"Woods County, Oklahoma",9127,1835,1493,33.9
40153,"Woodward County, Oklahoma",20967,5337,3048,36.3
41001,"Baker County, Oregon",15984,3107,4074,48.2
41003,"Benton County, Oregon",89780,14824,13573,32.9
41005,"Clackamas County, Oregon",405788,88881,69081,41.4
41007,"Clatsop County, Oregon",38562,7511,8015,43.9
41009,"Columbia County, Oregon",50851,11076,9097,43.3
41011,"Coos County, Oregon",63308,11759,15845,48.5
41013,"Crook County, Oregon",22337,4438,5490,47.8
41015,"Curry County, Oregon",22507,3308,7439,56.1
41017,"Deschutes County, Oregon",180640,37537,34502,42.3
41019,"Douglas County, Oregon",108323,21045,26671,47
