,date_0days,cases_0days,deaths_0days,date_70days,cases_70days,deaths_70days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty
164,2020-03-11,1,0,2020-05-20,29,1,38101,19,69628,11458,35907,2492,4686,33.603256116,67641,0.21562860653,0.692490972041,10.8
165,2020-03-11,1,0,2020-05-20,620,79,39151,128,374273,94437,130386,41942,34866,644.18021868,370606,0.389663365873,0.5638563101340001,14.4
166,2020-03-11,1,0,2020-05-20,94,9,41053,0,79666,18539,13400,18564,6781,116.18606273,86085,0.425087766676,0.495085066163,12.7
167,2020-03-11,1,0,2020-05-20,105,3,41059,3,76736,15752,26015,5376,4232,24.242337186,77950,0.285878388727,0.6423265431149999,15.8
168,2020-03-11,2,0,2020-05-20,4662,431,42017,90,626486,151809,177479,137230,84117,1039.4906596,628270,0.484163912988,0.47836075336,5.7
169,2020-03-11,2,0,2020-05-20,110,9,41043,11,121074,29548,32608,15413,11039,56.72720331,129749,0.318982530517,0.597233389372,12.7
170,2020-03-11,1,0,2020-05-20,438,32,28035,48,75835,13870,22139,10322,19347,160.7087323,74897,0.413099252309,0.555233836681,24.0
171,2020-03-11,2,0,2020-05-20,14954,913,34023,185,837288,164627,212671,181765,164948,2668.2428893,825062,0.583323899416,0.385544171961,8.2
172,2020-03-11,1,0,2020-05-20,1254,59,35001,138,674855,140933,285122,20496,49381,584.81475658,679121,0.526048595388,0.347860565254,16.5
173,2020-03-11,1,0,2020-05-20,127,3,35049,22,147514,42681,58308,11301,13493,78.70588876800001,150358,0.712822122656,0.20259125025,12.2
174,2020-03-11,2,0,2020-05-20,49,4,35053,0,17098,4106,4761,794,661,2.5031646355,16637,0.484754292481,0.383658969805,29.6
175,2020-03-11,1,0,2020-05-20,2466,174,36055,191,748680,166403,331559,21639,53539,1129.2528105,741770,0.543668245024,0.402515585762,14.4
176,2020-03-11,1,0,2020-05-20,181,10,53029,6,80323,24585,23694,11342,2422,408.32643903,85141,0.48947554508,0.430383028874,7.5
177,2020-03-11,2,0,2020-05-20,1728,81,51013,32,229534,32701,46784,95316,143245,9110.2137123,236842,0.769866939268,0.168881552487,6.3
178,2020-03-11,1,0,2020-05-20,127,1,53067,72,269885,60028,87085,33437,20262,402.13160725,290536,0.531598269842,0.377911873165,8.7
179,2020-03-11,2,0,2020-05-20,148,3,55039,15,102082,24000,36669,15246,11107,143.7019072,103403,0.340372646495,0.607586017928,9.5
180,2020-03-11,1,0,2020-05-20,514,24,55133,64,396731,95193,130178,75613,102388,735.27858448,404198,0.339516360659,0.610962263099,5.0
181,2020-03-11,1,0,2020-05-20,16,0,56033,11,29964,8337,13011,1066,607,12.08110855,30485,0.206245154014,0.7236202156899999,8.7
182,2020-03-11,1,0,2020-05-20,488,10,27109,218,151685,29861,72977,5849,21652,242.17997944,158293,0.457459288318,0.449916116907,7.1
183,2020-03-11,1,0,2020-05-20,439,38,50007,46,160985,31691,80046,7097,21236,305.21506861,163774,0.704904029095,0.236827459457,10.4
184,2020-03-11,1,0,2020-05-20,108,5,45057,20,86544,22468,16927,15821,6978,178.50602283,98012,0.354314642147,0.609499702973,13.3
185,2020-03-11,1,0,2020-05-20,4,0,46009,0,6972,1925,1784,980,385,12.245598379,6901,0.236718224613,0.707800941493,15.7
