,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age
165,2020-03-06,1,0,27123,2020-05-05,583.0,37.0,2020-05-15,1287.0,61.0,2020-05-25,2437.0,97.0,135,537893,102817,143064,118682,180547,3614.7495441,550321,0.657335200865,0.262957857936,14.6,126490,74248,541493,34.9
168,2020-03-06,1,0,53031,2020-05-05,28.0,0.0,2020-05-15,29.0,0.0,2020-05-25,30.0,0.0,6,30524,13626,9318,1783,1326,17.863595903,32221,0.624676616915,0.297810945274,12.7,3926,10559,30856,57.9
171,2020-03-06,1,0,53011,2020-05-05,368.0,22.0,2020-05-15,401.0,25.0,2020-05-25,427.0,25.0,90,457474,92850,129918,67262,21720,776.85533336,488241,0.463250316676,0.46270379602,8.8,114644,67720,465384,38.2
174,2020-03-06,1,0,49053,2020-05-05,85.0,0.0,2020-05-15,165.0,0.0,2020-05-25,274.0,0.0,32,155577,40002,53020,3587,2954,73.145411344,177556,0.16667826208,0.688176157512,9.7,43680,32828,160537,36.4
177,2020-03-06,1,0,49011,2020-05-05,302.0,2.0,2020-05-15,354.0,2.0,2020-05-25,414.0,2.0,22,334977,45623,79324,68831,34746,1188.6425946,355481,0.215696391206,0.448925578773,5.7,111690,32621,340621,30.8
180,2020-03-06,1,0,45055,2020-05-05,247.0,10.0,2020-05-15,261.0,12.0,2020-05-25,300.0,14.0,10,63734,15574,13630,12433,5901,91.590862268,66551,0.356467532468,0.604813852814,14.5,15016,11340,64361,41.7
183,2020-03-06,1,0,4021,2020-05-05,478.0,15.0,2020-05-15,670.0,28.0,2020-05-25,764.0,37.0,22,405537,100086,66064,65672,17022,86.24393453399998,462789,0.380971163584,0.5741378391340001,12.9,98104,80907,419721,38.9
186,2020-03-06,1,0,6113,2020-05-05,172.0,19.0,2020-05-15,182.0,22.0,2020-05-25,198.0,22.0,14,212605,34981,57362,32756,46807,217.29866745,220500,0.680718250598,0.26031645694600003,20.1,45919,25441,214977,31.0
189,2020-03-06,2,0,8031,2020-05-05,3546.0,188.0,2020-05-15,4452.0,248.0,2020-05-25,5216.0,298.0,227,678467,109403,210947,132233,280068,4743.9552681999985,727211,0.751690767184,0.187854888911,11.7,139801,78751,693417,34.4
192,2020-03-06,1,0,21067,2020-05-05,298.0,9.0,2020-05-15,532.0,12.0,2020-05-25,619.0,13.0,260,315109,55235,130876,23461,53687,1139.3160414000001,323152,0.512636652169,0.41796461737400004,14.6,67004,40073,318734,34.4
195,2020-03-06,1,0,18097,2020-05-05,6469.0,398.0,2020-05-15,8082.0,500.0,2020-05-25,9287.0,571.0,526,939964,160942,349286,79876,205245,2432.3168245,964582,0.589015980281,0.360672445786,17.2,234068,113355,944523,34.4
198,2020-03-06,1,0,13233,2020-05-05,61.0,0.0,2020-05-15,78.0,0.0,2020-05-25,97.0,0.0,0,41444,8705,9288,6548,3535,137.31381163,42613,0.202217827377,0.777369684984,21.8,10793,6270,41621,37.1
201,2020-03-06,1,0,15003,2020-05-05,404.0,11.0,2020-05-15,414.0,11.0,2020-05-25,414.0,11.0,148,990060,218287,481909,3507,4773,1622.7267286,974563,0.614786319102,0.316070609732,7.7,211029,166432,987638,37.6
204,2020-03-06,1,1,12071,2020-05-05,1159.0,49.0,2020-05-15,1384.0,74.0,2020-05-25,1735.0,93.0,141,700165,239488,225044,33214,18353,986.07766533,770577,0.382830412803,0.586687415783,12.1,129984,198022,718679,48.1
207,2020-03-06,2,0,12011,2020-05-05,5492.0,215.0,2020-05-15,6133.0,272.0,2020-05-25,6760.0,298.0,587,1890416,406732,668801,204778,129438,1623.499921,1952778,0.6647197440079999,0.314182517315,12.6,408805,303981,1909151,40.1
210,2020-03-06,1,0,8037,2020-05-05,547.0,7.0,2020-05-15,566.0,8.0,2020-05-25,577.0,8.0,5,53726,8107,26068,5064,3654,32.726608698,55127,0.559550661183,0.36057671045100004,6.7,12118,5482,54357,36.5
213,2020-03-06,1,0,8041,2020-05-05,1028.0,78.0,2020-05-15,1251.0,83.0,2020-05-25,1535.0,89.0,95,674826,116223,294394,17796,17830,338.71841276,720403,0.33774694914700004,0.563425510657,9.9,168985,83244,688153,34.1
216,2020-03-07,2,0,36091,2020-05-06,371.0,3.0,2020-05-16,423.0,3.0,2020-05-26,463.0,4.0,19,226632,52232,61985,51176,24432,283.78298772,229863,0.44717501368999996,0.49081074849399997,6.3,46969,38737,227377,42.6
219,2020-03-07,1,0,41035,2020-05-06,39.0,0.0,2020-05-16,41.0,0.0,2020-05-26,41.0,0.0,0,66018,18095,23764,1658,911,11.482571274000001,68238,0.242134062927,0.689808481532,18.5,14408,13368,66310,42.4
